ExternalId	Name	TypeOne	TypeTwo	X	Y	Geometry	Poly15
1256	Všeobecná ambulancia pre deti a dorast, MUDr. Eva Antónyová, Košice-Dargov.hrdinov, (MUDr. Antónyová Eva s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2824586	48.7395041	POINT (21.282458576876824 48.739504147023396)	POLYGON ((21.274516503607213 48.7359339526959, 21.274514130852985 48.7359232259716, 21.274511785684012 48.73591249659327, 21.274511716402934 48.73591231074445, 21.274511674507874 48.735912121345585, 21.274507723672993 48.73590160011041, 21.27450379989774 
1257	Všeobecná ambulancia pre deti a dorast, MUDr. Beáta Balluchová, Košice-Západ, (Balmed s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2374149	48.7221636	POINT (21.237414876757416 48.7221636469849)	POLYGON ((21.22898278390558 48.71705327857038, 21.228965456719838 48.71703442769233, 21.228945420674258 48.7170167914121, 21.22892286872808 48.717000539575366, 21.228898018069223 48.7169858286948, 21.228871108022652 48.71697280044286, 21.22884239774554 48
1258	Všeobecná ambulancia pre deti a dorast, MUDr. Eva Bednárová, Košice-Sídl.?ahanovce, (MUDr. Eva Bednárová)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2674997	48.7549773	POINT (21.267499676831182 48.754977347042384)	POLYGON ((21.259908282838968 48.75225392320803, 21.25989975562562 48.75224986543198, 21.259891457241903 48.75224560526363, 21.259886221804194 48.75224342519918, 21.25988119996784 48.75224103549672, 21.259872112333046 48.75223754993741, 21.259863222425352 
1259	Všeobecná ambulancia pre deti a dorast, MUDr. Adriana ?uhová, Košice-Juh, (doBRRÁ ambulancia s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2576085	48.7070256	POINT (21.25760847681738 48.70702564696784)	POLYGON ((21.248033464188516 48.70214751631414, 21.248021680437013 48.702154236093726, 21.24800983032233 48.70216090454847, 21.24800905531384 48.70216143566903, 21.248008210147287 48.702161917631756, 21.247997478210113 48.70216936956476, 21.24798667262903
1260	Všeobecná ambulancia pre deti a dorast, MUDr. Tamara Dupkalová, Košice-Dargov.hrdinov, (MUDr. Tamara Dupkalová)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2824586	48.7395041	POINT (21.282458576876824 48.739504147023396)	POLYGON ((21.274516503607213 48.7359339526959, 21.274514130852985 48.7359232259716, 21.274511785684012 48.73591249659327, 21.274511716402934 48.73591231074445, 21.274511674507874 48.735912121345585, 21.274507723672993 48.73590160011041, 21.27450379989774 
1261	Všeobecná ambulancia pre deti a dorast, MUDr. Terézia Džunková, Košice-Juh, (MUDr. Terézia Džunková)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2576085	48.7070256	POINT (21.25760847681738 48.70702564696784)	POLYGON ((21.248033464188516 48.70214751631414, 21.248021680437013 48.702154236093726, 21.24800983032233 48.70216090454847, 21.24800905531384 48.70216143566903, 21.248008210147287 48.702161917631756, 21.247997478210113 48.70216936956476, 21.24798667262903
1262	Všeobecná ambulancia pre deti a dorast, MUDr. Beáta Frolová, Košice-Sídl.?ahanovce, (Ambulancia Lienka s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2672463	48.7560684	POINT (21.267246276830186 48.75606844704393)	POLYGON ((21.26163494859694 48.75226319356712, 21.261640810593832 48.75224274069809, 21.26164378665722 48.752222016983616, 21.26164908617273 48.752149616968445, 21.26164898327944 48.75212655335026, 21.261645307654778 48.752103618055074, 21.261638097983255
1263	Všeobecná ambulancia pre deti a dorast, MUDr. ?udmila Grossmanová, Košice-Šaca, (PEDIATRIA - ŠACA s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.1729654	48.6363598	POINT (21.17296537660394 48.63635984683806)	POLYGON ((21.166060274377525 48.63064953308885, 21.165997774115507 48.630719532932865, 21.16597992052352 48.63074242927003, 21.165953952014206 48.63078100569103, 21.165898045451097 48.630811344578895, 21.16578524509251 48.63079721871168, 21.16575227294310
1264	Všeobecná ambulancia pre deti a dorast, MUDr. ?udmila Halásová, Košice-Sídlisko KVP, (LUDOC s.r.o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2160937	48.7147646	POINT (21.216093676700684 48.71476464696784)	POLYGON ((21.206342655127816 48.709674239913454, 21.20633139940772 48.709676245578876, 21.20632005907469 48.709678030316844, 21.206315311422067 48.70967911230714, 21.20631046283103 48.70967997628012, 21.20629955835503 48.70968270243027, 21.206288536953295
1265	Všeobecná ambulancia pre deti a dorast, MUDr. Viera Halásová, Košice-Sídlisko KVP, (Healing H s. r. o.)	Všeobecná ambulancia pre deti	Všeobecná ambulancia pre deti	21.2160937	48.7147646	POINT (21.216093676700684 48.71476464696784)	POLYGON ((21.206342655127816 48.709674239913454, 21.20633139940772 48.709676245578876, 21.20632005907469 48.709678030316844, 21.206315311422067 48.70967911230714, 21.20631046283103 48.70967997628012, 21.20629955835503 48.70968270243027, 21.206288536953295
