ExternalId;Geometry;X;Y;Street;OrientationNumber;Address;Type;District;DistrictTwo;LegalArea;HousingCount
16886;POINT (21.2240771 48.7077919);21.2240771;48.7077919;Stropkovská;10;Stropkovská 10;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17467;POINT (21.2259599 48.7082246);21.2259599;48.7082246;Brnenská;9;Brnenská 9;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17448;POINT (21.2283829 48.7077276);21.2283829;48.7077276;Jihlavská;10;Jihlavská 10;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17449;POINT (21.2283532 48.7078069);21.2283532;48.7078069;Jihlavská;12;Jihlavská 12;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17452;POINT (21.2283236 48.7078862);21.2283236;48.7078862;Jihlavská;14;Jihlavská 14;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17454;POINT (21.2282939 48.7079655);21.2282939;48.7079655;Jihlavská;16;Jihlavská 16;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17456;POINT (21.2282642 48.7080448);21.2282642;48.7080448;Jihlavská;18;Jihlavská 18;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17457;POINT (21.2282345 48.7081242);21.2282345;48.7081242;Jihlavská;20;Jihlavská 20;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17460;POINT (21.2256003 48.7081649);21.2256003;48.7081649;Brnenská;15;Brnenská 15;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17463;POINT (21.2257202 48.7081848);21.2257202;48.7081848;Brnenská;13;Brnenská 13;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17465;POINT (21.22584 48.7082047);21.22584;48.7082047;Brnenská;11;Brnenská 11;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17468;POINT (21.2261039 48.7081803);21.2261039;48.7081803;Brnenská;7;Brnenská 7;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17444;POINT (21.2284423 48.7075689);21.2284423;48.7075689;Jihlavská;6;Jihlavská 6;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17471;POINT (21.2262479 48.7081361);21.2262479;48.7081361;Brnenská;5;Brnenská 5;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17472;POINT (21.2263918 48.7080918);21.2263918;48.7080918;Brnenská;3;Brnenská 3;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17475;POINT (21.2265358 48.7080475);21.2265358;48.7080475;Brnenská;1;Brnenská 1;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17478;POINT (21.2261671 48.7087838);21.2261671;48.7087838;Brnenská;26;Brnenská 26;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17481;POINT (21.2254458 48.7109229);21.2254458;48.7109229;Brnenská;63;Brnenská 63;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17484;POINT (21.2232688 48.7051081);21.2232688;48.7051081;Kremnická;67;Kremnická 67;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17486;POINT (21.2234848 48.7051584);21.2234848;48.7051584;Kremnická;65;Kremnická 65;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17488;POINT (21.2237185 48.7051987);21.2237185;48.7051987;Kremnická;63;Kremnická 63;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17489;POINT (21.2239395 48.7052424);21.2239395;48.7052424;Kremnická;61;Kremnická 61;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17445;POINT (21.2284126 48.7076483);21.2284126;48.7076483;Jihlavská;8;Jihlavská 8;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17440;POINT (21.2285017 48.7074103);21.2285017;48.7074103;Jihlavská;2;Jihlavská 2;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17683;POINT (21.2345755 48.7250885);21.2345755;48.7250885;Popradská;14;Popradská 14;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17417;POINT (21.2273918 48.7075288);21.2273918;48.7075288;Žilinská;2;Žilinská 2;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17398;POINT (21.225417 48.7105982);21.225417;48.7105982;Brnenská;55;Brnenská 55;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17401;POINT (21.2254098 48.710517);21.2254098;48.710517;Brnenská;53;Brnenská 53;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17403;POINT (21.2275301 48.7081789);21.2275301;48.7081789;Jihlavská;11;Jihlavská 11;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17404;POINT (21.2269931 48.7080939);21.2269931;48.7080939;Brnenská;8;Brnenská 8;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17407;POINT (21.2271167 48.7079526);21.2271167;48.7079526;Brnenská;6;Brnenská 6;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17409;POINT (21.2271107 48.7077914);21.2271107;48.7077914;Brnenská;4;Brnenská 4;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17410;POINT (21.2277093 48.7078948);21.2277093;48.7078948;Jihlavská;7;Jihlavská 7;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17413;POINT (21.2272253 48.7076541);21.2272253;48.7076541;Brnenská;2;Brnenská 2;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17414;POINT (21.2278629 48.7077581);21.2278629;48.7077581;Jihlavská;5;Jihlavská 5;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17418;POINT (21.2278303 48.7075953);21.2278303;48.7075953;Jihlavská;3;Jihlavská 3;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17438;POINT (21.2257457 48.7084196);21.2257457;48.7084196;Brnenská;19;Brnenská 19;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17421;POINT (21.2279973 48.7074583);21.2279973;48.7074583;Jihlavská;1;Jihlavská 1;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17422;POINT (21.2253635 48.7117372);21.2253635;48.7117372;Brnenská;83;Brnenská 83;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17425;POINT (21.2253363 48.7100933);21.2253363;48.7100933;Brnenská;49;Brnenská 49;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17427;POINT (21.2253778 48.7097489);21.2253778;48.7097489;Brnenská;45;Brnenská 45;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17428;POINT (21.225414 48.7096435);21.225414;48.7096435;Brnenská;43;Brnenská 43;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17431;POINT (21.2254893 48.7094304);21.2254893;48.7094304;Brnenská;41;Brnenská 41;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17433;POINT (21.2255633 48.7092186);21.2255633;48.7092186;Brnenská;37;Brnenská 37;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17434;POINT (21.225607 48.7090405);21.225607;48.7090405;Brnenská;35;Brnenská 35;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17436;POINT (21.225718 48.7087396);21.225718;48.7087396;Brnenská;27;Brnenská 27;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17491;POINT (21.2241589 48.7053076);21.2241589;48.7053076;Kremnická;59;Kremnická 59;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17493;POINT (21.2243472 48.7054153);21.2243472;48.7054153;Kremnická;57;Kremnická 57;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17496;POINT (21.2245354 48.7055231);21.2245354;48.7055231;Kremnická;55;Kremnická 55;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17572;POINT (21.227168 48.7071801);21.227168;48.7071801;Žilinská;21;Žilinská 21;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17552;POINT (21.2272684 48.7065772);21.2272684;48.7065772;Kremnická;20;Kremnická 20;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17555;POINT (21.2274966 48.7065107);21.2274966;48.7065107;Kremnická;16;Kremnická 16;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17558;POINT (21.2277247 48.7064443);21.2277247;48.7064443;Kremnická;12;Kremnická 12;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17561;POINT (21.2285363 48.7063876);21.2285363;48.7063876;Kremnická;6;Kremnická 6;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17564;POINT (21.2286335 48.7064025);21.2286335;48.7064025;Kremnická;4;Kremnická 4;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17565;POINT (21.2287306 48.7064175);21.2287306;48.7064175;Kremnická;2;Kremnická 2;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17566;POINT (21.226489 48.7073842);21.226489;48.7073842;Žilinská;33;Žilinská 33;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17567;POINT (21.2266021 48.7073502);21.2266021;48.7073502;Žilinská;31;Žilinská 31;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17569;POINT (21.2267153 48.7073161);21.2267153;48.7073161;Žilinská;29;Žilinská 29;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17573;POINT (21.2272812 48.707146);21.2272812;48.707146;Žilinská;19;Žilinská 19;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17497;POINT (21.2247197 48.705623);21.2247197;48.705623;Kremnická;53;Kremnická 53;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17576;POINT (21.2225747 48.7050312);21.2225747;48.7050312;Kremnická;73;Kremnická 73;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17577;POINT (21.2290774 48.7064614);21.2290774;48.7064614;Martinská;6;Martinská 6;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17579;POINT (21.2273943 48.707112);21.2273943;48.707112;Žilinská;17;Žilinská 17;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17582;POINT (21.2240354 48.7059608);21.2240354;48.7059608;Sliačska;4;Sliačska 4;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17583;POINT (21.2242577 48.7058278);21.2242577;48.7058278;Sliačska;2;Sliačska 2;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17586;POINT (21.2231985 48.7055403);21.2231985;48.7055403;Kremnická;44;Kremnická 44;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17587;POINT (21.2240556 48.7064147);21.2240556;48.7064147;Sliačska;7;Sliačska 7;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17589;POINT (21.2276106 48.7064775);21.2276106;48.7064775;Kremnická;14;Kremnická 14;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17591;POINT (21.2270548 48.7072141);21.2270548;48.7072141;Žilinská;23;Žilinská 23;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17551;POINT (21.2270403 48.7066436);21.2270403;48.7066436;Kremnická;24;Kremnická 24;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17548;POINT (21.2269262 48.7066768);21.2269262;48.7066768;Kremnická;26;Kremnická 26;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17547;POINT (21.2255567 48.7076486);21.2255567;48.7076486;Žilinská;37;Žilinská 37;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17544;POINT (21.2257947 48.7073582);21.2257947;48.7073582;Štiavnická;4;Štiavnická 4;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17500;POINT (21.2249119 48.7057386);21.2249119;48.7057386;Kremnická;51;Kremnická 51;Rodinný dom;Košice-Západ;Západ;Terasa;3.0
17501;POINT (21.2251002 48.7058463);21.2251002;48.7058463;Kremnická;49;Kremnická 49;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17503;POINT (21.2254767 48.7060618);21.2254767;48.7060618;Kremnická;45;Kremnická 45;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17506;POINT (21.2242316 48.7062781);21.2242316;48.7062781;Sliačska;5;Sliačska 5;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17507;POINT (21.2248125 48.7066254);21.2248125;48.7066254;Lučenecká;6;Lučenecká 6;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17509;POINT (21.2262335 48.7062198);21.2262335;48.7062198;Kremnická;37;Kremnická 37;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17512;POINT (21.2263606 48.7062399);21.2263606;48.7062399;Kremnická;35;Kremnická 35;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17514;POINT (21.2266148 48.7062801);21.2266148;48.7062801;Kremnická;31;Kremnická 31;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17516;POINT (21.2268857 48.7062601);21.2268857;48.7062601;Kremnická;27;Kremnická 27;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17518;POINT (21.2271612 48.7061826);21.2271612;48.7061826;Kremnická;23;Kremnická 23;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17524;POINT (21.2274327 48.7061064);21.2274327;48.7061064;Kremnická;19;Kremnická 19;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17525;POINT (21.2275846 48.7060649);21.2275846;48.7060649;Kremnická;17;Kremnická 17;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17526;POINT (21.228095 48.7058524);21.228095;48.7058524;Kremnická;13;Kremnická 13;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17529;POINT (21.22833 48.7058892);21.22833;48.7058892;Kremnická;11;Kremnická 11;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17530;POINT (21.2285651 48.705926);21.2285651;48.705926;Kremnická;9;Kremnická 9;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17534;POINT (21.2292702 48.7060365);21.2292702;48.7060365;Kremnická;3;Kremnická 3;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17535;POINT (21.2295052 48.7060733);21.2295052;48.7060733;Kremnická;1;Kremnická 1;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17537;POINT (21.2254492 48.706774);21.2254492;48.706774;Lučenecká;3;Lučenecká 3;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17540;POINT (21.2253465 48.706902);21.2253465;48.706902;Lučenecká;5;Lučenecká 5;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17397;POINT (21.2254242 48.7106794);21.2254242;48.7106794;Brnenská;57;Brnenská 57;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
17364;POINT (21.2254314 48.7107606);21.2254314;48.7107606;Brnenská;59;Brnenská 59;Rodinný dom;Košice-Západ;Západ;Terasa;1.0
